"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
18.4,290.097508922005,"C14H17N3O2S","N3O2S","CHNOS",14,17,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291.104785374165,290.09687108694,2.19108409541849,2.19,290,289.773583451932,0.226416548067732,8,0.142857142857143,1.21428571428571,6,22.3926267337769,20,0.9,30,0.6,0,0,0,0,0,0,"Unambiguous"
13.5,292.040535411689,"C12H11N3O4S","N3O4S","CHNOS",12,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293.047811863849,292.03975014014,2.67967040671771,2.68,292,291.71444034088,0.285559659120452,9,0.333333333333333,0.916666666666667,5,22.5420789686385,20,0.9,26,0.4,0,0,0,0,0,0,"Unambiguous"
27.5,292.076935533265,"C13H15N3O3S","N3O3S","CHNOS",13,15,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293.084211985425,292.07613564544,2.72920816767405,2.73,292,291.750799817755,0.249200182245431,8,0.230769230769231,1.15384615384615,5,22.5448778536615,20,0.9,28,0.5,0,0,0,0,0,0,"Unambiguous"
24.2,292.113225654474,"C14H19N3O2S","N3O2S","CHNOS",14,19,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293.120502106634,292.11252115074,2.40346113159389,2.4,292,291.78704941709,0.212950582910423,7,0.142857142857143,1.35714285714286,5,22.5476767386846,20,0.9,30,0.6,0,0,0,0,0,0,"Unambiguous"
46.6,294.092472265132,"C13H17N3O3S","N3O3S","CHNOS",13,17,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295.099748717292,294.09178570924,2.32652143985578,2.33,294,293.764085983301,0.235914016699041,7,0.230769230769231,1.30769230769231,4,22.6999278585692,20,0.9,28,0.6,0,0,0,0,0,0,"Unambiguous"
19.3,294.128982387076,"C14H21N3O2S","N3O2S","CHNOS",14,21,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295.136258839236,294.12817121454,2.74846790707677,2.75,294,293.800555337716,0.199444662284066,6,0.142857142857143,1.5,4,22.7027267435923,20,0.9,30,0.7,0,0,0,0,0,0,"Unambiguous"
7.6,296.071808876092,"C12H15N3O4S","N3O4S","CHNOS",12,15,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,297.079085328252,296.07105026774,2.55355691126444,2.55,296,295.741212449318,0.258787550682143,7,0.333333333333333,1.25,3,22.8521789784538,20,0.9,26,0.6,0,0,0,0,0,0,"Unambiguous"
43.8,296.108208997667,"C13H19N3O3S","N3O3S","CHNOS",13,19,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,297.115485449827,296.10743577304,2.60243799230653,2.6,296,295.777571926193,0.222428073807237,6,0.230769230769231,1.46153846153846,3,22.8549778634769,20,0.9,28,0.7,0,0,0,0,0,0,"Unambiguous"
4.3,302.024728152617,"C13H9N3O4S","N3O4S","CHNOS",13,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,303.032004604777,302.02410007634,2.07264007505711,2.07,302,301.687484642998,0.312515357002042,11,0.307692307692308,0.692307692307692,7,23.3101058868077,21,0.9,28,0.3,0,0,0,0,0,0,"Unambiguous"
3.2,302.060998255672,"C14H13N3O3S","N3O3S","CHNOS",14,13,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,303.068274707832,302.06048558164,1.691612336065,1.69,302,301.723714246532,0.276285753467675,10,0.214285714285714,0.928571428571429,7,23.3129047718308,21,0.9,30,0.4,0,0,0,0,0,0,"Unambiguous"
8.9,304.040373879736,"C13H11N3O4S","N3O4S","CHNOS",13,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,305.047650331896,304.03975014014,2.04472840695319,2.04,304,303.700879682091,0.299120317908546,10,0.307692307692308,0.846153846153846,6,23.4651558917154,21,0.9,28,0.4,0,0,0,0,0,0,"Unambiguous"
