"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
1.6,569.226965326719,"C24H42O13S","O13S","CHOS",24,42,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.234241778879,569.22733570754,-0.649523991602034,0.65,569,568.591361411998,0.408638588002191,4,0.541666666666667,1.75,-9,43.8642009353615,38,0.9,50,0.8,0,0,0,0,0,0,"Unambiguous"
1.7,531.151481926637,"C18H32N2O14S","N2O14S","CHNOS",18,32,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,532.158758378797,531.15014802564,2.50658469197284,2.51,531,530.558393436831,0.441606563168762,4,0.777777777777778,1.77777777777778,-10,40.9351864982923,35,0.9,38,0.8,0,0,0,0,0,0,"Unambiguous"
1.9,249.058791706066,"C13H14O3S","O3S","CHOS",13,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250.066068158226,249.05908859134,-1.18722734440492,1.19,249,248.780690434259,0.2193095657409,7,0.230769230769231,1.07692307692308,4,19.2358742341154,17,0.9,28,0.5,0,0,0,0,0,0,"Unambiguous"
3.5,489.104270431742,"C15H26N2O14S","N2O14S","CHNOS",15,26,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490.111546883902,489.10319783424,2.18847629423975,2.19,489,488.558132233923,0.441867766076825,4,0.933333333333333,1.73333333333333,-10,37.7008057143385,32,0.8,32,0.8,0,0,0,0,0,0,"Unambiguous"
1.7,475.088322879539,"C14H24N2O14S","N2O14S","CHNOS",14,24,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,476.095599331699,475.08754777044,1.62805348447696,1.63,475,474.55783501397,0.442164986029809,4,1,1.71428571428571,-10,36.6226787863538,31,0.8,30,0.8,0,0,0,0,0,0,"Unambiguous"
5.5,459.093469926955,"C14H24N2O13S","N2O13S","CHNOS",14,24,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,460.100746379115,459.09263314814,1.81868606203878,1.82,459,458.580842057084,0.419157942916456,4,0.928571428571429,1.71428571428571,-9,35.3923007384846,30,0.8,30,0.8,0,0,0,0,0,0,"Unambiguous"
3.5,443.098347075479,"C14H24N2O12S","N2O12S","CHNOS",14,24,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,444.105623527639,443.09771852584,1.41531564891022,1.42,443,442.603579502677,0.396420497322538,4,0.857142857142857,1.71428571428571,-8,34.1619226906154,29,0.8,30,0.8,0,0,0,0,0,0,"Unambiguous"
1.1,415.067174656357,"C12H20N2O12S","N2O12S","CHNOS",12,20,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416.074451108517,415.06641839824,1.81760287033967,1.82,415,414.603706941097,0.396293058902586,4,1,1.66666666666667,-8,32.0056688346462,27,0.8,26,0.8,0,0,0,0,0,0,"Unambiguous"
35.3,351.184642967928,"C16H32O6S","O6S","CHOS",16,32,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,352.191919420088,351.18468303244,-0.113757611364407,0.11,351,350.792507058253,0.207492941747375,1,0.375,2,-5,27.0916891911231,23,0.8,34,0.9,0,0,0,0,0,0,"Unambiguous"
1.1,349.169155834399,"C16H30O6S","O6S","CHOS",16,30,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,350.176432286559,349.16903296864,0.350868156963222,0.35,349,348.779270435662,0.22072956433766,2,0.375,1.875,-4,26.9366391862154,23,0.9,34,0.9,0,0,0,0,0,0,"Unambiguous"
1.3,309.152805917069,"C17H26O3S","O3S","CHOS",17,26,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310.160082369229,309.15298897414,-0.590201904444055,0.59,309,308.807603132139,0.192396867861191,5,0.176470588235294,1.52941176470588,2,23.8584819558692,21,0.9,36,0.7,0,0,0,0,0,0,"Unambiguous"
2.1,295.137398923125,"C16H24O3S","O3S","CHOS",16,24,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,296.144675375285,295.13733891034,0.202646848756489,0.2,295,294.807845866853,0.192154133147426,5,0.1875,1.5,2,22.7803550278846,20,0.9,34,0.7,0,0,0,0,0,0,"Unambiguous"
2.3,293.143080889271,"C13H26O5S","O5S","CHOS",13,26,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.150357341431,293.14281821874,0.892980492853426,0.89,293,292.815754706331,0.184245293668539,1,0.384615384615385,2,-4,22.6269303593,19,0.8,28,0.9,0,0,0,0,0,0,"Unambiguous"
4.5,503.120168441073,"C16H28N2O14S","N2O14S","CHNOS",16,28,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504.127444893233,503.11884789804,2.61946268960712,2.62,503,502.558379966325,0.441620033675463,4,0.875,1.75,-10,38.7789326423231,33,0.9,34,0.8,0,0,0,0,0,0,"Unambiguous"
1.3,227.110608681016,"C12H20O2S","O2S","CHOS",12,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,228.117885133176,227.11112416044,-2.25970630759378,2.26,227,226.857014946451,0.142985053549069,3,0.166666666666667,1.66666666666667,1,17.5475692778923,15,0.9,26,0.8,0,0,0,0,0,0,"Unambiguous"
2.5,287.059216381204,"C12H16O6S","O6S","CHOS",12,16,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,288.066492833364,287.05948252204,-0.923886820365843,0.92,287,286.738683495725,0.261316504275328,5,0.5,1.33333333333333,-1,22.1589814595538,19,0.9,26,0.6,0,0,0,0,0,0,"Unambiguous"
1.5,283.14859062775,"C14H24N2O2S","N2O2S","CHNOS",14,24,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.15586707991,283.14857230284,0.0644889374741255,0.06,283,282.832424381923,0.167575618076967,4,0.142857142857143,1.71428571428571,2,21.8581422119231,19,0.9,30,0.8,0,0,0,0,0,0,"Unambiguous"
2.7,283.137940584848,"C15H24O3S","O3S","CHOS",15,24,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284.145217037008,283.13733891034,2.11748947907987,2.12,283,282.821786230954,0.178213769046295,4,0.2,1.6,1,21.8572781048077,19,0.9,32,0.8,0,0,0,0,0,0,"Unambiguous"
1.7,278.143720466273,"C12H25NO4S","NO4S","CHNOS",12,25,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,279.150996918433,278.14315257194,2.03436254674267,2.03,278,277.83314270318,0.166857296820183,1,0.333333333333333,2.08333333333333,-3,21.4731099249308,18,0.8,26,1,0,0,0,0,0,0,"Unambiguous"
1.8,277.148306456375,"C13H26O4S","O4S","CHOS",13,26,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278.155582908535,277.14790359644,1.4483259017191,1.45,277,276.838840181458,0.161159818541705,1,0.307692307692308,2,-3,21.3965523114308,18,0.8,28,0.9,0,0,0,0,0,0,"Unambiguous"
2,277.137216411701,"C15H22N2OS","N2OS","CHNOS",15,22,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278.144492863861,277.13800761674,-2.84458279662678,2.84,277,276.827762520026,0.172237479973546,6,0.0666666666666667,1.46666666666667,5,21.3957910822231,19,0.9,32,0.7,0,0,0,0,0,0,"Unambiguous"
26.4,277.111906309742,"C12H22O5S","O5S","CHOS",12,22,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278.119182761902,277.11151809114,1.39587136097176,1.4,277,276.802480679554,0.197519320446077,2,0.416666666666667,1.83333333333333,-3,21.3937534264077,18,0.8,26,0.8,0,0,0,0,0,0,"Unambiguous"
2.4,275.121568291921,"C15H20N2OS","N2OS","CHNOS",15,20,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,276.128844744081,275.12235755294,-2.85830703363685,2.86,275,274.814365090944,0.185634909055807,7,0.0666666666666667,1.33333333333333,6,21.2407410773154,19,0.9,32,0.6,0,0,0,0,0,0,"Unambiguous"
1.3,275.02323789581,"C10H12O7S","O7S","CHOS",10,12,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,276.03051434797,275.02309701674,0.510374984687542,0.51,275,274.716144491432,0.283855508568422,5,0.7,1.2,-2,21.2331056514538,18,0.8,22,0.5,0,0,0,0,0,0,"Unambiguous"
11.7,293.106490741872,"C12H22O6S","O6S","CHOS",12,22,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.113767194032,293.10643271344,0.197299272523065,0.2,293,292.779205415818,0.220794584181874,2,0.5,1.83333333333333,-4,22.6241314742769,19,0.8,26,0.8,0,0,0,0,0,0,"Unambiguous"
1.4,270.981321613469,"C12H4N2O4S","N2O4S","CHNOS",12,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,271.988598065629,270.98190090944,-2.1298538816811,2.13,271,270.67874144892,0.321258551079609,12,0.333333333333333,0.333333333333333,8,20.9222444124308,19,0.9,26,0.2,0,0,0,0,0,0,"Unambiguous"
3.1,269.121634121956,"C14H22O3S","O3S","CHOS",14,22,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,270.128910574116,269.12168884654,-0.202586918976504,0.2,269,268.821130501075,0.17886949892528,4,0.214285714285714,1.57142857142857,1,20.7791511768231,18,0.9,30,0.7,0,0,0,0,0,0,"Unambiguous"
1.4,267.116836045885,"C13H20N2O2S","N2O2S","CHNOS",13,20,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268.124112498045,267.11727217524,-1.62659505443578,1.63,267,266.818571000445,0.181428999555123,5,0.153846153846154,1.53846153846154,3,20.6249652790308,18,0.9,28,0.7,0,0,0,0,0,0,"Unambiguous"
12,267.090895941388,"C10H20O6S","O6S","CHOS",10,20,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268.098172393548,267.09078264964,0.422575608067336,0.42,267,266.792659860901,0.207340139099131,1,0.6,2,-5,20.6229276232154,17,0.8,22,0.9,0,0,0,0,0,0,"Unambiguous"
1.4,265.111697968443,"C11H22O5S","O5S","CHOS",11,22,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266.118974420603,265.11151809114,0.67592813966678,0.68,265,264.815671878094,0.184328121906162,1,0.454545454545455,2,-4,20.4706765033308,17,0.8,24,0.9,0,0,0,0,0,0,"Unambiguous"
6,265.07528782177,"C10H18O6S","O6S","CHOS",10,18,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266.08256427393,265.07513258584,0.583412634045271,0.58,265,264.779302387315,0.220697612684717,2,0.6,1.8,-4,20.4678776183077,17,0.8,22,0.8,0,0,0,0,0,0,"Unambiguous"
12.9,263.132329994813,"C12H24O4S","O4S","CHOS",12,24,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,264.139606446973,263.13225353264,0.289476366289703,0.29,263,262.838514084426,0.161485915573792,1,0.333333333333333,2,-3,20.3184253834462,17,0.8,26,0.9,0,0,0,0,0,0,"Unambiguous"
1.3,263.095989848422,"C11H20O5S","O5S","CHOS",11,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,264.103266300582,263.09586802734,0.461263064082049,0.46,263,262.802214515767,0.197785484233293,2,0.454545454545455,1.81818181818182,-3,20.3156264984231,17,0.8,24,0.8,0,0,0,0,0,0,"Unambiguous"
54.1,261.116351873704,"C12H22O4S","O4S","CHOS",12,22,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262.123628325864,261.11660346884,-0.959833866348139,0.96,261,260.824787022497,0.175212977502895,2,0.333333333333333,1.83333333333333,-2,20.1633753785385,17,0.8,26,0.8,0,0,0,0,0,0,"Unambiguous"
